,movie_id,movie_name,year,genre,overview,director,cast,movie_id2,Keywords
364,tt0104561,Jo Jeeta Wohi Sikandar,1992,"Comedy, Drama, Romance","A rich brat and a poor chap try to woo a girl, with their rivalry culminating in the most prestigious college event - the marathon cycle race.",Mansoor Khan,"Aamir Khan, Ayesha Jhulka, Deepak Tijori, Pooja Bedi",0104561,"poverty, wealth, college, cycling, competition, bicycle race, small town, teenager, coming of age, teenage love, teen angst, naivete, unspoken love, first love, sports team, domineering father, father son relationship, brother brother relationship, end of friendship, friendship, boarding school, school drama, aimlessness, remake"
365,tt13510660,Dhamaka,2021,"Action, Crime, Drama","Reassigned from TV to radio, a frustrated anchor sees both danger and opportunity when he receives threatening calls on the air.","Ram Madhvani, Heavenveer Singh Hayer","Kartik Aaryan, Mrunal Thakur, Amruta Subhash, Soham Majumdar",13510660,"radio, call, opportunity, danger, bridge, journalist, terrorist, attack, explosion, fake news, news channel, news business, remake, station"
366,tt15314640,Cobalt Blue,2022,"Drama, Romance","When a brother and sister fall in love with the same man, ensuing events shatter a traditional Marathi family. Based on Sachin Kundalkar's novel.",Sachin Kundalkar,"Neelay Mehendale, Joshi Anantvijay, Prateik Patil Babbar, Lovish Bhatia",15314640,"love, bare chested male, male underwear, briefs, white briefs, tighty whities, man wears tighty whities, man wears white briefs, gay kiss, gay sex, gay, gay protagonist, gay love, gay sex in public area, handsome man, teacher student relationship, gay interest, gay cinema, gay erotica, gay indian, family relationships, traditional, friendship, brother sister relationship, anal sex, color in title, life, brother, sex scene, love triangle, male in a shower, hairy armpit, hairy chest, hairy chested male, female armpit hair, indian family, outdoor sex, kiss, orange, desire, male male relationship, teacher student sex, male male sex, first gay sexual experience, reference to lolita, writer, book, elephant, first sexual experience, homoerotica"
367,tt0920464,Manorama: Six Feet Under,2007,"Crime, Drama, Mystery","Manorama, wife of an irrigation minister, tasks Satyaveer to find if her husband is cheating. As Satyaveer starts investigating, he gets trapped in a web of lies and must uncover the entire truth.",Navdeep Singh,"Abhay Deol, Gul Panag, Raima Sen, Sarika Thakur",0920464,"brother in law brother in law relationship, dysfunctional marriage, voyeur, mysterious woman, bored housewife, water, drought, corrupt cop, body in concrete, incriminating photograph, corruption, goldfish, breaking someone's fingers, henchman, investigation, suspended from job, failed writer, reluctant hero, drugged drink, illegitimate daughter, amateur detective, mistress, clue, femme fatale, desert, politician, police inspector, voice over narration, pseudonym, alias, conspiracy, mirage, terminal illness, lung cancer, pedophile, neo noir, small town, surprise ending, frame up, breaking and entering, marital reconciliation, vomiting man, threat, stakeout, hitchhiking, marital estrangement, character repeats someone else's dialogue, crying man, woman uses a wheelchair, husband"
368,tt13491110,Antim: The Final Truth,2021,"Action, Crime, Drama",The cop played by Salman fights the land mafia in the film.,Mahesh Manjrekar,"Salman Khan, Aayush Sharma, Mahima Makwana, Mahesh Manjrekar",13491110,mafia
369,tt3159708,Welcome Back,2015,"Action, Comedy, Crime","A pair of reformed gangsters try to find a husband for their newly discovered sister, but complications arise due to mistaken identities.",Anees Bazmee,"John Abraham, Anil Kapoor, Nana Patekar, Paresh Rawal",3159708,husband wife relationship
370,tt8504014,Good Newwz,2019,"Comedy, Drama",Two couples with the same surname pursue in-vitro fertilization and wait for their upcoming babies. Trouble ensues when they find that the sperms of each couple have been mixed with each other.,"Raj Mehta, Kulwinder Singh, Ranjeet Singh","Akshay Kumar, Kareena Kapoor, Diljit Dosanjh, Kiara Advani",8504014,"in vitro fertilisation, pregnancy"
371,tt1328634,New York,2009,"Crime, Drama, Thriller",A contemporary story of 3 friends discovering a new world set against the larger than life New York City. But one day the world around them changed.,Kabir Khan,"John Abraham, Katrina Kaif, Neil Nitin Mukesh, Irrfan Khan",1328634,"male nudity, fbi federal bureau of investigation, friend, world, taxi driver, new york, die hard scenario, window washer, waterboarding, university, trauma, traumatic experience, terrorist plot, suicide, suicide by jumping, sniper, sniper rifle, sleeper cell, revenge, release from prison, prison, police, police sniper, police officer, pistol, phone bomb, human rights lawyer, detonator, college life, college campus, cell phone, c4 explosives, bakery, american, undercover, torture, new york city, muslim, false accusation, anger, terrorism, patriot act, city name in title"
372,tt0102071,Hum,1991,"Action, Comedy, Drama","A dockworker overthrows the tyranny of a cruel gangster but has to run away to make a new life for himself and his brothers. Fifteen years later, his past catches up with him as his old enemy resurfaces.",Mukul Anand,"Amitabh Bachchan, Rajinikanth, Govinda, Kimi Katkar",0102071,"dockworker, waterfront, anger, arson, secret, corrupt cop, look alike, stepmother stepson relationship, lifting a woman into the air, sprayed with water, tough guy, presumed dead, machismo, police inspector, dock, playing one side against another, opportunist, mercenary, traitor, treason, house on fire, child with a gun, money falling through the air, falling from a helicopter, kidnapping, film actress, tank, burned to death, showdown, fist, arms dealer, double cross, unity, revolt, evil businessman, loyalty, crushed to death, slum, death of stepmother, brother brother relationship, farmhouse, bribe, general, arm wrestling, club dancer, dancer, train, pacifism, dark past, stepbrother stepbrother relationship"
373,tt3447364,Detective Byomkesh Bakshy!,2015,"Action, Crime, Drama",Detective Byomkesh Bakshy is set in the 2nd World War torn Calcutta during the 1940s. Enter a magical world of nostalgia and 'Expect the Unexpected'.,Dibakar Banerjee,"Sushant Singh Rajput, Anand Tiwari, Neeraj Kabi, Divya Menon",3447364,"criminal mastermind, evil genius, bengali, chemist, private detective, son looking for missing father, invasion plan, japanese invasion, detective hero, conspiracy, red herring, resistance fighter, gang war, opium, femme fatale, blackmail, missing person, amateur detective, chinese mafia, year 1943, world war two, calcutta india, punctuation in title, detective, dark comedy, genius, clue, heroin, political leader, seduction, factory, corpse, murder, 1940s, woman smoker, drug dealer, killing one's lover, slow motion scene, ambush, bluff, undercover, unrequited love, swimsuit, poisoned soup, tenant, shadow, bombing, applying lipstick, lipstick, disguise"
