,movie_id,movie_name,year,genre,overview,director,cast
2499,tt32728672,Kaalam raasina kathalu,2024.0,Drama,"Reincarnated souls navigate love, friendship, and family across six decades amid injustice, betrayal, and sacrifice.",MNV Sagar,"Viharika Chowdary, Abhilash Goguboina, MNV Sagar, Baby Pasupuleti, Uma Recherla"
2500,tt33507675,Gorgeous Rascal,2024.0,Thriller,The film centers on a gripping investigation to uncover the real killer behind a mysterious murder.,Pramod Jois,unknown
2501,tt31704663,The U P Files,2024.0,Drama,"Inspired by true events, Abhay Singh gets elected as the chief minister of UP and gets to work while facing issues within the state.",Neeraj Sahai,"Ali Asgar, Vidhyadhar Bane, Karan Chhabra, Poonam Dwivedi, Manjari Fadnnis"
2502,tt28527967,Sentimentaaal,2024.0,"Action, Crime, Drama","Police Officer Suryaa Roy, is transferred to Raghunathpur from Kolkata, where local politician Rudrani Chowdhury runs many illegal businesses. When they come at loggerheads, can Suryaa save his family and the people of Raghunathpur?",Baba Yadav,"Yash Daasguptaa, Nussrat Jahan, Sayantani Ghosh, Ajmaine Al Arafat, Samm Batyacharyya"
2503,tt13926298,Nanban Oruvan Vantha Piragu,2024.0,Drama,"Anand, in the travel back to his home to reunite with his friends , looks back at his life in 8 chapters, trying to find an answer to the question of ""What's happiness / Am I happy?",Ananth Ram,"Ananth Ram, Bhavani Sre, Aishwarya. M, Rj Ananthi, Kpy Bala"
2504,tt32084930,Love Me If You Dare,2024.0,Romance,"A man's romance with an enigmatic woman leads him down a dark path as he faces terrifying events, vanishings, and heartbreak while urgently trying to uncover her true nature in this eerie Telugu fantasy romance.",Arun Bhimavarapu,"Sai Bellamkonda, Bhanuteja, Vaishnavi Chaitanya, Jwala Chakravarthy, Simran Choudhary"
2505,tt15839942,Kaaduvetty,2024.0,Romance,Follows a romance between two people who face challenges due to their caste differences.,Solai Arumugam,"Akilan, D. Subas Chandrabose, Jayam SK Gopi, Santhi Mani, Aadukalam Murugadoss"
2506,tt28102362,The Umesh Chronicles,2024.0,"Drama, Romance","The coming of age of a young girl, Radha in 1980s middle-class India. Surrounded by books and music, Radha has little contact with Sundar, a boy who helps her lead a life of privilege.",Pooja Kaul,"Aiza Khan, Kriti Panth, Amitabh Bachchan, Leela Samson, Zayn Marie Khan"
2507,tt32765751,The Rulers,2024.0,unknown,"Poor villager Roopa falls for wealthy Sandeep who impregnates her, then deceives. With activist Sandesh's help, she forces Sandeep to marry but faces abuse from his family. Sandesh takes legal action. Will justice prevail for Roopa?",Udhay Bhaskar,"Vishal Kumar BG, Rithu Anagha, K. M Sandesh, Punith Raj, Durga Buddha Deepa"
2508,tt29463725,Veerayi Makkal,2024.0,Drama,"A once close family of three brothers and a sister face growing divides and tensions but ultimately reunites through forgiveness after a tragedy strikes, reaffirming the strength of familial bonds.","Nagaraj Karuppaiah, Nagaraj Karuppaih","G. Marimuthu, Jerald Milton, Suresh Nandha, Pandi, Rama"
2509,tt27988923,RT4GM,2024.0,unknown,Unknown,Gopichand Malineni,"Rashmika Mandanna, Ravi Teja, K. Selvaraghavan, Indhuja Ravichandran"
2510,tt21071990,Upadhyaksha,2024.0,Comedy,Narayana obstructs work by Shivarudre Gowda in Gejjepura. Narayana falls for Gowda's daughter Anjali and takes her from home against her father's wishes.,Anil Kumar,"P. Ravi Shankar, Sadhu Kokila, Keerthiraj, Chikkanna, Dharmanna Kadur"
2511,tt33035197,Boong,2024.0,Drama,"A schoolboy, Boong, navigates racial tensions and border challenges in Manipur, driven by resilience and determination to reunite his divided family.",Lakshmipriya Devi,"Gugun Kipgen, Bala Hijam Ningthoujam, Angom Sanamatum, Vikram Kochhar, Modhubala Thoudam"
2512,tt27328373,Level Cross,2024.0,Drama,"A modern girl and an unruly man from different worlds meet at a surreal setup. Despite their differences, they discover unexpected similarities about life.",Arfaz Ayub,"Asif Ali, Amala Paul, Sharafudheen"
2513,tt32118013,Bhaje Vaayu Vegam,2024.0,"Action, Crime, Drama, Thriller","To pay for surgery for his father, an aspiring cricketer makes a big bet. When the bookie cheats him, he retaliates - and gets caught in a crime web.",Prashanth Reddy,"Tanikella Bharani, Krishna Chaitanya, Keshav Deepak, Kartikeya Gummakonda, Sharath Lohitashwa"
2514,tt15437986,The Shameless,2024.0,"Crime, Drama, Thriller","After killing a cop in a Delhi brothel, Renuka takes refuge in a northern India community of sex workers. There, she begins a forbidden romance with the 17-year-old Devika. Against all odds, they try to forge their path to freedom.",Konstantin Bojanov,"Anasuya Sengupta, Omara, Auroshikha Dey, Rohit Kokate, Mita Vashisht"
2515,tt30321249,Lagan Special,2024.0,Comedy,"Shekhar and Suman's arranged marriage hits a snag when she overhears him admitting he doesn't love her. Calling off the ceremony, families argue while Shekhar tries convincing Suman of his devotion.","Rahul Bhole, Vinit Kanojia","Malhar Thakar, Puja Joshi, Mitra Gadhvi, Nijal Modi, Ragi Jani"
2516,tt32206571,Lorry Chapter-1,2024.0,"Action, Crime, Thriller","Harshavardan, an ex-convict mechanic, is tasked to deliver a lorry with a valuable load to Mumbai. He gets entangled with the villainous Pratap, who wants to become CM through illegal means.",Sreekanth Reddy Asam,"Sreekanth Reddy Asam, Geetha Bhosale, Chandrashika, Gold Reddy, Rockey Singh"
2517,tt28420074,Atu Nuvve Itu Nuvve,2024.0,Action,Nowadays Doctors give treatment for patient to make money but Rahul treat's Patient without expecting money. one girl named Nidhi was impressed with Rahul's attitude and both fell in love.,Kumar Koramutla,"Raja Abel, Khaswi, Nagineedu, V.K. Naresh, Sanchita Padukone"
2518,tt33348082,Aaragan,2024.0,unknown,"Saravanan & Magizhnila, in love but financially unstable, see hope when Magizhnila lands a better job in a new town. However, her path soon fills with unexpected struggles. Her journey through these challenges is the essence of the story.",Arun KR,"Kavipriya, Kalai Rani, Sriranjani, Michael Thangadurai, Yazar"
2519,tt26258902,Quotation Gang Part 1,2024.0,"Crime, Thriller",The film revolves around a bold female contract killer. She takes up the crime syndicate and fights for power. An incident changed her life upside down.,Vivek K Kannan,"Jackie Shroff, Akshaya, Sara Arjun, V. Jayaprakash, Sonal Khilwani"
2520,tt28665498,Gu,2024.0,unknown,"A small family of a father, mother and daughter named Munna come to live. The family has shifted to their ancestral home to perform a ritual called theyyam. Their relatives also live in this place. Munna meets many children who are the same age as her, putting her at ease. The kids play in the empty lands of the property when certain unusual incidents start taking place. Munna's father works in an IT company based in Bengaluru. He has not returned to his ancestral home for the last ten years, because of some problems he faced in the house. What is the mystery behind these paranormal activities?",Manu Radhakrishnan,"Saiju Kurup, Deva Nandha, Kanchan, Ramesh Pisharody, Niranjan"
